exp_id,name,mean_reward,std_reward,success_rate,train_time_s,lr,gamma,ent_coef,use_baseline,batch_episodes,hidden,dropout
8,Batch Episodes=8,21.9,1.06,86.7,25.8,0.001,0.99,0.01,True,8,"[64, 64]",0.0
9,Deeper Network,21.88,0.83,86.7,34.6,0.0005,0.99,0.01,True,1,"[128, 128, 128]",0.0
7,Low Gamma,21.81,0.9,86.7,31.4,0.001,0.85,0.01,True,1,"[64, 64]",0.0
6,Low LR,21.73,0.73,80.0,54.7,0.0001,0.99,0.01,True,1,"[64, 64]",0.0
5,High LR,21.73,0.86,86.7,31.8,0.005,0.99,0.01,True,1,"[64, 64]",0.0
3,High Entropy,21.73,0.58,83.3,38.5,0.001,0.99,0.1,True,1,"[64, 64]",0.0
1,Baseline REINFORCE,21.64,0.79,83.3,30.8,0.001,0.99,0.01,True,1,"[64, 64]",0.0
2,No Baseline,21.55,0.75,80.0,27.1,0.001,0.99,0.01,False,1,"[64, 64]",0.0
10,Dropout + Entropy,21.51,0.7,80.0,24.9,0.001,0.99,0.05,True,4,"[128, 128]",0.1
4,Zero Entropy,21.43,0.64,73.3,31.8,0.001,0.99,0.0,True,1,"[64, 64]",0.0
